Title,Genre,Rating,Score,Overview,Star1,Star2,Star3,Star4,Director,metadata
Mysterious Skin,Drama,0.0,0.625,"A teenage hustler and a young man obsessed with alien abductions cross paths, together discovering a horrible, liberating truth.",Brady Corbet,Joseph Gordon-Levitt,Elisabeth Shue,Chase Ellison,Gregg Araki,drama teenage hustler young man obsessed alien abduction cross path together discovering horrible liberating truth brady corbet gregg araki
Jeux d'enfants,"Comedy, Drama, Romance",0.0,0.23611111111111116,"As adults, best friends Julien and Sophie continue the odd game they started as children -- a fearless competition to outdo one another with daring and outrageous stunts. While they often act out to relieve one another's pain, their game might be a way to avoid the fact that they are truly meant for one another.",Guillaume Canet,Marion Cotillard,Thibault Verhaeghe,Joséphine Lebas-Joly,Yann Samuell,comedy drama romance adult best friend julien sophie continue odd game started child fearless competition outdo one another daring outrageous stunt often act relieve one anothers pain game might way avoid fact truly meant one another guillaume canet yann samuell
Un long dimanche de fiançailles,"Drama, Mystery, Romance",0.0,0.6666666666666667,"Tells the story of a young woman's relentless search for her fiancé, who has disappeared from the trenches of the Somme during World War One.",Audrey Tautou,Gaspard Ulliel,Jodie Foster,Dominique Pinon,Jean-Pierre Jeunet,drama mystery romance tell story young woman relentless search fiancé disappeared trench somme world war one audrey tautou jeanpierre jeunet
The Station Agent,"Comedy, Drama",0.0,0.7361111111111112,"When his only friend dies, a man born with dwarfism moves to rural New Jersey to live a life of solitude, only to meet a chatty hot dog vendor and a woman dealing with her own personal loss.",Peter Dinklage,Patricia Clarkson,Bobby Cannavale,Paul Benjamin,Tom McCarthy,comedy drama friend dy man born dwarfism move rural new jersey live life solitude meet chatty hot dog vendor woman dealing personal loss peter dinklage tom mccarthy
21 Grams,"Crime, Drama, Thriller",0.0,0.5833333333333334,"A freak accident brings together a critically ill mathematician, a grieving mother, and a born-again ex-con.",Sean Penn,Benicio Del Toro,Naomi Watts,Danny Huston,Alejandro G. Iñárritu,crime drama thriller freak accident brings together critically ill mathematician grieving mother bornagain excon sean penn alejandro g iñárritu
Boksuneun naui geot,"Crime, Drama, Thriller",0.0,0.38888888888888884,"A recently laid off factory worker kidnaps his former boss' friend's daughter, hoping to use the ransom money to pay for his sister's kidney transplant.",Kang-ho Song,Shin Ha-kyun,Bae Doona,Ji-Eun Lim,Chan-wook Park,crime drama thriller recently laid factory worker kidnaps former bos friend daughter hoping use ransom money pay sister kidney transplant kangho song chanwook park
Finding Neverland,"Biography, Drama, Family",0.0,0.5416666666666666,The story of Sir J.M. Barrie's friendship with a family who inspired him to create Peter Pan.,Johnny Depp,Kate Winslet,Julie Christie,Radha Mitchell,Marc Forster,biography drama family story sir jm barrie friendship family inspired create peter pan johnny depp marc forster
25th Hour,Drama,0.0,0.5555555555555556,"Cornered by the DEA, convicted New York drug dealer Montgomery Brogan reevaluates his life in the 24 remaining hours before facing a seven-year jail term.",Edward Norton,Barry Pepper,Philip Seymour Hoffman,Rosario Dawson,Spike Lee,drama cornered dea convicted new york drug dealer montgomery brogan reevaluates life 24 remaining hour facing sevenyear jail term edward norton spike lee
The Butterfly Effect,"Drama, Sci-Fi, Thriller",0.0,0.02777777777777779,"Evan Treborn suffers blackouts during significant events of his life. As he grows up, he finds a way to remember these lost memories and a supernatural way to alter his life by reading his journal.",J. Mackye Gruber,Ashton Kutcher,Amy Smart,Melora Walters,Eric Bress,drama scifi thriller evan treborn suffers blackout significant event life grows find way remember lost memory supernatural way alter life reading journal j mackye gruber eric bress
28 Days Later...,"Drama, Horror, Sci-Fi",0.0,0.625,"Four weeks after a mysterious, incurable virus spreads throughout the UK, a handful of survivors try to find sanctuary.",Cillian Murphy,Naomie Harris,Christopher Eccleston,Alex Palmer,Danny Boyle,drama horror scifi four week mysterious incurable virus spread throughout uk handful survivor try find sanctuary cillian murphy danny boyle
The Royal Tenenbaums,"Comedy, Drama",0.0,0.6666666666666667,The eccentric members of a dysfunctional family reluctantly gather under the same roof for various reasons.,Gene Hackman,Gwyneth Paltrow,Anjelica Huston,Ben Stiller,Wes Anderson,comedy drama eccentric member dysfunctional family reluctantly gather roof various reason gene hackman wes anderson
Y tu mamá también,Drama,0.0,0.8333333333333333,"In Mexico, two teenage boys and an attractive older woman embark on a road trip and learn a thing or two about life, friendship, sex, and each other.",Maribel Verdú,Gael García Bernal,Daniel Giménez Cacho,Ana López Mercado,Alfonso Cuarón,drama mexico two teenage boy attractive older woman embark road trip learn thing two life friendship sex maribel verdú alfonso cuarón
Harry Potter and the Sorcerer's Stone,"Adventure, Family, Fantasy",0.0,0.5,"An orphaned boy enrolls in a school of wizardry, where he learns the truth about himself, his family and the terrible evil that haunts the magical world.",Daniel Radcliffe,Rupert Grint,Richard Harris,Maggie Smith,Chris Columbus,adventure family fantasy orphaned boy enrolls school wizardry learns truth family terrible evil haunt magical world daniel radcliffe chris columbus
The Others,"Horror, Mystery, Thriller",0.0,0.6388888888888888,A woman who lives in her darkened old family house with her two photosensitive children becomes convinced that the home is haunted.,Nicole Kidman,Christopher Eccleston,Fionnula Flanagan,Alakina Mann,Alejandro Amenábar,horror mystery thriller woman life darkened old family house two photosensitive child becomes convinced home haunted nicole kidman alejandro amenábar
Blow,"Biography, Crime, Drama",0.0,0.33333333333333337,"The story of how George Jung, along with the Medellín Cartel headed by Pablo Escobar, established the American cocaine market in the 1970s in the United States.",Johnny Depp,Penélope Cruz,Franka Potente,Rachel Griffiths,Ted Demme,biography crime drama story george jung along medellín cartel headed pablo escobar established american cocaine market 1970s united state johnny depp ted demme
