Title,Genre,Rating,Score,Overview,Star1,Star2,Star3,Star4,Director,metadata
A Christmas Story,"Comedy, Family",0.17647058823529438,0.6805555555555556,"In the 1940s, a young boy named Ralphie attempts to convince his parents, his teacher and Santa that a Red Ryder BB gun really is the perfect Christmas gift.",Peter Billingsley,Melinda Dillon,Darren McGavin,Scott Schwartz,Bob Clark,comedy family 1940s young boy named ralphie attempt convince parent teacher santa red ryder bb gun really perfect christmas gift peter billingsley bob clark
The Blues Brothers,"Action, Adventure, Comedy",0.17647058823529438,0.4444444444444444,"Jake Blues, just released from prison, puts together his old band to save the Catholic home where he and his brother Elwood were raised.",John Belushi,Dan Aykroyd,Cab Calloway,John Candy,John Landis,action adventure comedy jake blue released prison put together old band save catholic home brother elwood raised john belushi john landis
Manhattan,"Comedy, Drama, Romance",0.17647058823529438,0.7638888888888888,The life of a divorced television writer dating a teenage girl is further complicated when he falls in love with his best friend's mistress.,Woody Allen,Diane Keaton,Mariel Hemingway,Michael Murphy,Woody Allen,comedy drama romance life divorced television writer dating teenage girl complicated fall love best friend mistress woody allen woody allen
All That Jazz,"Drama, Music, Musical",0.17647058823529438,0.6111111111111112,"Director/choreographer Bob Fosse tells his own life story as he details the sordid career of Joe Gideon, a womanizing, drug-using dancer.",Roy Scheider,Jessica Lange,Ann Reinking,Leland Palmer,Bob Fosse,drama music musical directorchoreographer bob fosse tell life story detail sordid career joe gideon womanizing drugusing dancer roy scheider bob fosse
Dawn of the Dead,"Action, Adventure, Horror",0.17647058823529438,0.5972222222222222,"Following an ever-growing epidemic of zombies that have risen from the dead, two Philadelphia S.W.A.T. team members, a traffic reporter, and his television executive girlfriend seek refuge in a secluded shopping mall.",David Emge,Ken Foree,Scott H. Reiniger,Gaylen Ross,George A. Romero,action adventure horror following evergrowing epidemic zombie risen dead two philadelphia swat team member traffic reporter television executive girlfriend seek refuge secluded shopping mall david emge george romero
All the President's Men,"Biography, Drama, History",0.17647058823529438,0.7777777777777777,"""The Washington Post"" reporters Bob Woodward and Carl Bernstein uncover the details of the Watergate scandal that leads to President Richard Nixon's resignation.",Dustin Hoffman,Robert Redford,Jack Warden,Martin Balsam,Alan J. Pakula,biography drama history washington post reporter bob woodward carl bernstein uncover detail watergate scandal lead president richard nixon resignation dustin hoffman alan j pakula
La montaña sagrada,"Adventure, Drama, Fantasy",0.17647058823529438,0.6666666666666667,"In a corrupt, greed-fueled world, a powerful alchemist leads a messianic character and seven materialistic figures to the Holy Mountain, where they hope to achieve enlightenment.",Alejandro Jodorowsky,Horacio Salinas,Zamira Saunders,Juan Ferrara,Alejandro Jodorowsky,adventure drama fantasy corrupt greedfueled world powerful alchemist lead messianic character seven materialistic figure holy mountain hope achieve enlightenment alejandro jodorowsky alejandro jodorowsky
Le charme discret de la bourgeoisie,Comedy,0.17647058823529438,0.9027777777777777,"A surreal, virtually plotless series of dreams centered around six middle-class people and their consistently interrupted attempts to have a meal together.",Fernando Rey,Delphine Seyrig,Paul Frankeur,Bulle Ogier,Luis Buñuel,comedy surreal virtually plotless series dream centered around six middleclass people consistently interrupted attempt meal together fernando rey luis buñuel
Patton,"Biography, Drama, War",0.17647058823529438,0.875,The World War II phase of the career of controversial American general George S. Patton.,George C. Scott,Karl Malden,Stephen Young,Michael Strong,Franklin J. Schaffner,biography drama war world war ii phase career controversial american general george patton george c scott franklin j schaffner
The Wild Bunch,"Action, Adventure, Western",0.17647058823529438,0.9583333333333333,"An aging group of outlaws look for one last big score as the ""traditional"" American West is disappearing around them.",William Holden,Ernest Borgnine,Robert Ryan,Edmond O'Brien,Sam Peckinpah,action adventure western aging group outlaw look one last big score traditional american west disappearing around william holden sam peckinpah
In the Heat of the Night,"Crime, Drama, Mystery",0.17647058823529438,0.6527777777777777,A black police detective is asked to investigate a murder in a racially hostile southern town.,Sidney Poitier,Rod Steiger,Warren Oates,Lee Grant,Norman Jewison,crime drama mystery black police detective asked investigate murder racially hostile southern town sidney poitier norman jewison
Charade,"Comedy, Mystery, Romance",0.17647058823529438,0.7638888888888888,Romance and suspense ensue in Paris as a woman is pursued by several men who want a fortune her murdered husband had stolen. Whom can she trust?,Cary Grant,Audrey Hepburn,Walter Matthau,James Coburn,Stanley Donen,comedy mystery romance romance suspense ensue paris woman pursued several men want fortune murdered husband stolen trust cary grant stanley donen
Spartacus,"Adventure, Biography, Drama",0.17647058823529438,0.8194444444444444,The slave Spartacus leads a violent revolt against the decadent Roman Republic.,Kirk Douglas,Laurence Olivier,Jean Simmons,Charles Laughton,Stanley Kubrick,adventure biography drama slave spartacus lead violent revolt decadent roman republic kirk douglas stanley kubrick
High Noon,"Drama, Thriller, Western",0.17647058823529438,0.8472222222222221,"A town Marshal, despite the disagreements of his newlywed bride and the townspeople around him, must face a gang of deadly killers alone at high noon when the gang leader, an outlaw he sent up years ago, arrives on the noon train.",Gary Cooper,Grace Kelly,Thomas Mitchell,Lloyd Bridges,Fred Zinnemann,drama thriller western town marshal despite disagreement newlywed bride townspeople around must face gang deadly killer alone high noon gang leader outlaw sent year ago arrives noon train gary cooper fred zinnemann
Strangers on a Train,"Crime, Film-Noir, Thriller",0.17647058823529438,0.8333333333333333,A psychopath forces a tennis star to comply with his theory that two strangers can get away with murder.,Farley Granger,Robert Walker,Ruth Roman,Leo G. Carroll,Alfred Hitchcock,crime filmnoir thriller psychopath force tennis star comply theory two stranger get away murder farley granger alfred hitchcock
Notorious,"Drama, Film-Noir, Romance",0.17647058823529438,1.0,A woman is asked to spy on a group of Nazi friends in South America. How far will she have to go to ingratiate herself with them?,Cary Grant,Ingrid Bergman,Claude Rains,Louis Calhern,Alfred Hitchcock,drama filmnoir romance woman asked spy group nazi friend south america far go ingratiate cary grant alfred hitchcock
The Adventures of Robin Hood,"Action, Adventure, Romance",0.17647058823529438,0.9583333333333333,"When Prince John and the Norman Lords begin oppressing the Saxon masses in King Richard's absence, a Saxon lord fights back as the outlaw leader of a rebel guerrilla army.",William Keighley,Errol Flynn,Olivia de Havilland,Basil Rathbone,Michael Curtiz,action adventure romance prince john norman lord begin oppressing saxon mass king richards absence saxon lord fight back outlaw leader rebel guerrilla army william keighley michael curtiz
King Kong,"Adventure, Horror, Sci-Fi",0.17647058823529438,0.8611111111111112,A film crew goes to a tropical island for an exotic location shoot and discovers a colossal ape who takes a shine to their female blonde star. He is then captured and brought back to New York City for public exhibition.,Ernest B. Schoedsack,Fay Wray,Robert Armstrong,Bruce Cabot,Merian C. Cooper,adventure horror scifi film crew go tropical island exotic location shoot discovers colossal ape take shine female blonde star captured brought back new york city public exhibition ernest b schoedsack merian c cooper
Forushande,Drama,0.117647058823529,0.7916666666666667,"While both participating in a production of ""Death of a Salesman,"" a teacher's wife is assaulted in her new home, which leaves him determined to find the perpetrator over his wife's traumatized objections.",Shahab Hosseini,Taraneh Alidoosti,Babak Karimi,Mina Sadati,Asghar Farhadi,drama participating production death salesman teacher wife assaulted new home leaf determined find perpetrator wife traumatized objection shahab hosseini asghar farhadi
Dunkirk,"Action, Drama, History",0.117647058823529,0.9166666666666667,"Allied soldiers from Belgium, the British Empire, and France are surrounded by the German Army and evacuated during a fierce battle in World War II.",Fionn Whitehead,Barry Keoghan,Mark Rylance,Tom Hardy,Christopher Nolan,action drama history allied soldier belgium british empire france surrounded german army evacuated fierce battle world war ii fionn whitehead christopher nolan
Hidden Figures,"Biography, Drama, History",0.117647058823529,0.6388888888888888,The story of a team of female African-American mathematicians who served a vital role in NASA during the early years of the U.S. space program.,Taraji P. Henson,Octavia Spencer,Janelle Monáe,Kevin Costner,Theodore Melfi,biography drama history story team female africanamerican mathematician served vital role nasa early year u space program taraji p henson theodore melfi
Paddington 2,"Adventure, Comedy, Family",0.117647058823529,0.8333333333333333,"Paddington (Ben Whishaw), now happily settled with the Brown family and a popular member of the local community, picks up a series of odd jobs to buy the perfect present for his Aunt Lucy's (Imelda Staunton's) 100th birthday, only for the gift to be stolen.",Ben Whishaw,Hugh Grant,Hugh Bonneville,Sally Hawkins,Paul King,adventure comedy family paddington ben whishaw happily settled brown family popular member local community pick series odd job buy perfect present aunt lucy imelda stauntons 100th birthday gift stolen ben whishaw paul king
Kubo and the Two Strings,"Animation, Action, Adventure",0.117647058823529,0.7777777777777777,A young boy named Kubo must locate a magical suit of armour worn by his late father in order to defeat a vengeful spirit from the past.,Charlize Theron,Art Parkinson,Matthew McConaughey,Ralph Fiennes,Travis Knight,animation action adventure young boy named kubo must locate magical suit armour worn late father order defeat vengeful spirit past charlize theron travis knight
Manchester by the Sea,Drama,0.117647058823529,0.9444444444444444,A depressed uncle is asked to take care of his teenage nephew after the boy's father dies.,Casey Affleck,Michelle Williams,Kyle Chandler,Lucas Hedges,Kenneth Lonergan,drama depressed uncle asked take care teenage nephew boy father dy casey affleck kenneth lonergan
Under sandet,"Drama, History, War",0.117647058823529,0.6527777777777777,"In post-World War II Denmark, a group of young German POWs are forced to clear a beach of thousands of land mines under the watch of a Danish Sergeant who slowly learns to appreciate their plight.",Roland Møller,Louis Hofmann,Joel Basman,Mikkel Boe Følsgaard,Martin Zandvliet,drama history war postworld war ii denmark group young german pow forced clear beach thousand land mine watch danish sergeant slowly learns appreciate plight roland møller martin zandvliet
Rogue One,"Action, Adventure, Sci-Fi",0.117647058823529,0.5138888888888888,The daughter of an Imperial scientist joins the Rebel Alliance in a risky move to steal the plans for the Death Star.,Felicity Jones,Diego Luna,Alan Tudyk,Donnie Yen,Gareth Edwards,action adventure scifi daughter imperial scientist join rebel alliance risky move steal plan death star felicity jones gareth edward
Captain America: Civil War,"Action, Adventure, Sci-Fi",0.117647058823529,0.6527777777777777,Political involvement in the Avengers' affairs causes a rift between Captain America and Iron Man.,Joe Russo,Chris Evans,Robert Downey Jr.,Scarlett Johansson,Anthony Russo,action adventure scifi political involvement avenger affair cause rift captain america iron man joe russo anthony russo
The Hateful Eight,"Crime, Drama, Mystery",0.117647058823529,0.5555555555555556,"In the dead of a Wyoming winter, a bounty hunter and his prisoner find shelter in a cabin currently inhabited by a collection of nefarious characters.",Samuel L. Jackson,Kurt Russell,Jennifer Jason Leigh,Walton Goggins,Quentin Tarantino,crime drama mystery dead wyoming winter bounty hunter prisoner find shelter cabin currently inhabited collection nefarious character samuel l jackson quentin tarantino
Little Women,"Drama, Romance",0.117647058823529,0.875,"Jo March reflects back and forth on her life, telling the beloved story of the March sisters - four young women, each determined to live life on her own terms.",Saoirse Ronan,Emma Watson,Florence Pugh,Eliza Scanlen,Greta Gerwig,drama romance jo march reflects back forth life telling beloved story march sister four young woman determined live life term saoirse ronan greta gerwig
Loving Vincent,"Animation, Biography, Crime",0.117647058823529,0.4722222222222222,"In a story depicted in oil painted animation, a young man comes to the last hometown of painter Vincent van Gogh (Robert Gulaczyk) to deliver the troubled artist's final letter and ends up investigating his final days there.",Hugh Welchman,Douglas Booth,Jerome Flynn,Robert Gulaczyk,Dorota Kobiela,animation biography crime story depicted oil painted animation young man come last hometown painter vincent van gogh robert gulaczyk deliver troubled artist final letter end investigating final day hugh welchman dorota kobiela
Le passé,"Drama, Mystery",0.117647058823529,0.7916666666666667,"An Iranian man deserts his French wife and her two children to return to his homeland. Meanwhile, his wife starts up a new relationship, a reality her husband confronts upon his wife's request for a divorce.",Bérénice Bejo,Tahar Rahim,Ali Mosaffa,Pauline Burlet,Asghar Farhadi,drama mystery iranian man desert french wife two child return homeland meanwhile wife start new relationship reality husband confronts upon wife request divorce bérénice bejo asghar farhadi
The Lunchbox,"Drama, Romance",0.117647058823529,0.6666666666666667,A mistaken delivery in Mumbai's famously efficient lunchbox delivery system connects a young housewife to an older man in the dusk of his life as they build a fantasy world together through notes in the lunchbox.,Irrfan Khan,Nimrat Kaur,Nawazuddin Siddiqui,Lillete Dubey,Ritesh Batra,drama romance mistaken delivery mumbai famously efficient lunchbox delivery system connects young housewife older man dusk life build fantasy world together note lunchbox irrfan khan ritesh batra
Big Hero 6,"Animation, Action, Adventure",0.117647058823529,0.6388888888888888,"A special bond develops between plus-sized inflatable robot Baymax and prodigy Hiro Hamada, who together team up with a group of friends to form a band of high-tech heroes.",Chris Williams,Ryan Potter,Scott Adsit,Jamie Chung,Don Hall,animation action adventure special bond develops plussized inflatable robot baymax prodigy hiro hamada together team group friend form band hightech hero chris williams hall
About Time,"Comedy, Drama, Fantasy",0.117647058823529,0.375,"At the age of 21, Tim discovers he can travel in time and change what happens and has happened in his own life. His decision to make his world a better place by getting a girlfriend turns out not to be as easy as you might think.",Domhnall Gleeson,Rachel McAdams,Bill Nighy,Lydia Wilson,Richard Curtis,comedy drama fantasy age 21 tim discovers travel time change happens happened life decision make world better place getting girlfriend turn easy might think domhnall gleeson richard curtis
Kaze tachinu,"Animation, Biography, Drama",0.117647058823529,0.7638888888888888,"A look at the life of Jiro Horikoshi, the man who designed Japanese fighter planes during World War II.",Hideaki Anno,Hidetoshi Nishijima,Miori Takimoto,Masahiko Nishimura,Hayao Miyazaki,animation biography drama look life jiro horikoshi man designed japanese fighter plane world war ii hideaki anno hayao miyazaki
Toy Story 4,"Animation, Adventure, Comedy",0.117647058823529,0.7777777777777777,"When a new toy called ""Forky"" joins Woody and the gang, a road trip alongside old and new friends reveals how big the world can be for a toy.",Tom Hanks,Tim Allen,Annie Potts,Tony Hale,Josh Cooley,animation adventure comedy new toy called forky join woody gang road trip alongside old new friend reveals big world toy tom hank josh cooley
La migliore offerta,"Crime, Drama, Mystery",0.117647058823529,0.29166666666666663,A lonely art expert working for a mysterious and reclusive heiress finds not only her art worth examining.,Geoffrey Rush,Jim Sturgess,Sylvia Hoeks,Donald Sutherland,Giuseppe Tornatore,crime drama mystery lonely art expert working mysterious reclusive heiress find art worth examining geoffrey rush giuseppe tornatore
Moonrise Kingdom,"Comedy, Drama, Romance",0.117647058823529,0.7777777777777777,"A pair of young lovers flee their New England town, which causes a local search party to fan out to find them.",Jared Gilman,Kara Hayward,Bruce Willis,Bill Murray,Wes Anderson,comedy drama romance pair young lover flee new england town cause local search party fan find jared gilman wes anderson
How to Train Your Dragon 2,"Animation, Action, Adventure",0.117647058823529,0.6666666666666667,"When Hiccup and Toothless discover an ice cave that is home to hundreds of new wild dragons and the mysterious Dragon Rider, the two friends find themselves at the center of a battle to protect the peace.",Jay Baruchel,Cate Blanchett,Gerard Butler,Craig Ferguson,Dean DeBlois,animation action adventure hiccup toothless discover ice cave home hundred new wild dragon mysterious dragon rider two friend find center battle protect peace jay baruchel dean deblois
The Big Short,"Biography, Comedy, Drama",0.117647058823529,0.7361111111111112,In 2006-2007 a group of investors bet against the US mortgage market. In their research they discover how flawed and corrupt the market is.,Christian Bale,Steve Carell,Ryan Gosling,Brad Pitt,Adam McKay,biography comedy drama 20062007 group investor bet u mortgage market research discover flawed corrupt market christian bale adam mckay
The Girl with the Dragon Tattoo,"Crime, Drama, Mystery",0.117647058823529,0.5972222222222222,"Journalist Mikael Blomkvist is aided in his search for a woman who has been missing for forty years by Lisbeth Salander, a young computer hacker.",Daniel Craig,Rooney Mara,Christopher Plummer,Stellan Skarsgård,David Fincher,crime drama mystery journalist mikael blomkvist aided search woman missing forty year lisbeth salander young computer hacker daniel craig david fincher
Captain Phillips,"Adventure, Biography, Crime",0.117647058823529,0.75,"The true story of Captain Richard Phillips and the 2009 hijacking by Somali pirates of the U.S.-flagged MV Maersk Alabama, the first American cargo ship to be hijacked in two hundred years.",Tom Hanks,Barkhad Abdi,Barkhad Abdirahman,Catherine Keener,Paul Greengrass,adventure biography crime true story captain richard phillips 2009 hijacking somali pirate usflagged mv maersk alabama first american cargo ship hijacked two hundred year tom hank paul greengrass
Straight Outta Compton,"Biography, Drama, History",0.117647058823529,0.6111111111111112,"The rap group NWA emerges from the mean streets of Compton in Los Angeles, California, in the mid-1980s and revolutionizes Hip Hop culture with their music and tales about life in the hood.",O'Shea Jackson Jr.,Corey Hawkins,Jason Mitchell,Neil Brown Jr.,F. Gary Gray,biography drama history rap group nwa emerges mean street compton los angeles california mid1980s revolutionizes hip hop culture music tale life hood oshea jackson jr f gary gray
Madeo,"Crime, Drama, Mystery",0.117647058823529,0.7083333333333333,A mother desperately searches for the killer who framed her son for a girl's horrific murder.,Hye-ja Kim,Won Bin,Jin Goo,Je-mun Yun,Bong Joon Ho,crime drama mystery mother desperately search killer framed son girl horrific murder hyeja kim bong joon ho
The Hobbit: The Desolation of Smaug,"Adventure, Fantasy",0.117647058823529,0.5277777777777778,"The dwarves, along with Bilbo Baggins and Gandalf the Grey, continue their quest to reclaim Erebor, their homeland, from Smaug. Bilbo Baggins is in possession of a mysterious and magical ring.",Ian McKellen,Martin Freeman,Richard Armitage,Ken Stott,Peter Jackson,adventure fantasy dwarf along bilbo baggins gandalf grey continue quest reclaim erebor homeland smaug bilbo baggins possession mysterious magical ring ian mckellen peter jackson
Das weiße Band - Eine deutsche Kindergeschichte,"Drama, History, Mystery",0.117647058823529,0.75,"Strange events happen in a small village in the north of Germany during the years before World War I, which seem to be ritual punishment. Who is responsible?",Christian Friedel,Ernst Jacobi,Leonie Benesch,Ulrich Tukur,Michael Haneke,drama history mystery strange event happen small village north germany year world war seem ritual punishment responsible christian friedel michael haneke
Män som hatar kvinnor,"Crime, Drama, Mystery",0.117647058823529,0.6666666666666667,A journalist is aided by a young female hacker in his search for the killer of a woman who has been dead for forty years.,Michael Nyqvist,Noomi Rapace,Ewa Fröling,Lena Endre,Niels Arden Oplev,crime drama mystery journalist aided young female hacker search killer woman dead forty year michael nyqvist niels arden oplev
The Fighter,"Biography, Drama, Sport",0.117647058823529,0.7083333333333333,"Based on the story of Micky Ward, a fledgling boxer who tries to escape the shadow of his more famous but troubled older boxing brother and get his own shot at greatness.",Mark Wahlberg,Christian Bale,Amy Adams,Melissa Leo,David O. Russell,biography drama sport based story micky ward fledgling boxer try escape shadow famous troubled older boxing brother get shot greatness mark wahlberg david russell
Taken,"Action, Thriller",0.117647058823529,0.3194444444444444,"A retired CIA agent travels across Europe and relies on his old skills to save his estranged daughter, who has been kidnapped while on a trip to Paris.",Liam Neeson,Maggie Grace,Famke Janssen,Leland Orser,Pierre Morel,action thriller retired cia agent travel across europe relies old skill save estranged daughter kidnapped trip paris liam neeson pierre morel
The Boy in the Striped Pyjamas,"Drama, History, War",0.117647058823529,0.375,"Through the innocent eyes of Bruno, the eight-year-old son of the commandant at a German concentration camp, a forbidden friendship with a Jewish boy on the other side of the camp fence has startling and unexpected consequences.",Asa Butterfield,David Thewlis,Rupert Friend,Zac Mattoon O'Brien,Mark Herman,drama history war innocent eye bruno eightyearold son commandant german concentration camp forbidden friendship jewish boy side camp fence startling unexpected consequence asa butterfield mark herman
Once,"Drama, Music, Romance",0.117647058823529,0.8333333333333333,"A modern-day musical about a busker and an immigrant and their eventful week in Dublin, as they write, rehearse and record songs that tell their love story.",Glen Hansard,Markéta Irglová,Hugh Walsh,Gerard Hendrick,John Carney,drama music romance modernday musical busker immigrant eventful week dublin write rehearse record song tell love story glen hansard john carney
The Hobbit: An Unexpected Journey,"Adventure, Fantasy",0.117647058823529,0.41666666666666663,"A reluctant Hobbit, Bilbo Baggins, sets out to the Lonely Mountain with a spirited group of dwarves to reclaim their mountain home, and the gold within it from the dragon Smaug.",Martin Freeman,Ian McKellen,Richard Armitage,Andy Serkis,Peter Jackson,adventure fantasy reluctant hobbit bilbo baggins set lonely mountain spirited group dwarf reclaim mountain home gold within dragon smaug martin freeman peter jackson
Atonement,"Drama, Mystery, Romance",0.117647058823529,0.7916666666666667,Thirteen-year-old fledgling writer Briony Tallis irrevocably changes the course of several lives when she accuses her older sister's lover of a crime he did not commit.,Keira Knightley,James McAvoy,Brenda Blethyn,Saoirse Ronan,Joe Wright,drama mystery romance thirteenyearold fledgling writer briony tallis irrevocably change course several life accuses older sister lover crime commit keira knightley joe wright
Drive,"Crime, Drama",0.117647058823529,0.6944444444444444,A mysterious Hollywood stuntman and mechanic moonlights as a getaway driver and finds himself in trouble when he helps out his neighbor.,Ryan Gosling,Carey Mulligan,Bryan Cranston,Albert Brooks,Nicolas Winding Refn,crime drama mysterious hollywood stuntman mechanic moonlight getaway driver find trouble help neighbor ryan gosling nicolas winding refn
American Gangster,"Biography, Crime, Drama",0.117647058823529,0.6666666666666667,"An outcast New York City cop is charged with bringing down Harlem drug lord Frank Lucas, whose real life inspired this partly biographical film.",Denzel Washington,Russell Crowe,Chiwetel Ejiofor,Josh Brolin,Ridley Scott,biography crime drama outcast new york city cop charged bringing harlem drug lord frank lucas whose real life inspired partly biographical film denzel washington ridley scott
Avatar,"Action, Adventure, Fantasy",0.117647058823529,0.7638888888888888,A paraplegic Marine dispatched to the moon Pandora on a unique mission becomes torn between following his orders and protecting the world he feels is his home.,Sam Worthington,Zoe Saldana,Sigourney Weaver,Michelle Rodriguez,James Cameron,action adventure fantasy paraplegic marine dispatched moon pandora unique mission becomes torn following order protecting world feel home sam worthington james cameron
Mr. Nobody,"Drama, Fantasy, Romance",0.117647058823529,0.48611111111111116,"A boy stands on a station platform as a train is about to leave. Should he go with his mother or stay with his father? Infinite possibilities arise from this decision. As long as he doesn't choose, anything is possible.",Jared Leto,Sarah Polley,Diane Kruger,Linh Dan Pham,Jaco Van Dormael,drama fantasy romance boy stand station platform train leave go mother stay father infinite possibility arise decision long doesnt choose anything possible jared leto jaco van dormael
Apocalypto,"Action, Adventure, Drama",0.117647058823529,0.5555555555555556,"As the Mayan kingdom faces its decline, a young man is taken on a perilous journey to a world ruled by fear and oppression.",Gerardo Taracena,Raoul Max Trujillo,Dalia Hernández,Rudy Youngblood,Mel Gibson,action adventure drama mayan kingdom face decline young man taken perilous journey world ruled fear oppression gerardo taracena mel gibson
Little Miss Sunshine,"Comedy, Drama",0.117647058823529,0.7222222222222223,A family determined to get their young daughter into the finals of a beauty pageant take a cross-country trip in their VW bus.,Valerie Faris,Steve Carell,Toni Collette,Greg Kinnear,Jonathan Dayton,comedy drama family determined get young daughter final beauty pageant take crosscountry trip vw bus valerie faris jonathan dayton
Hot Fuzz,"Action, Comedy, Mystery",0.117647058823529,0.7361111111111112,A skilled London police officer is transferred to a small town with a dark secret.,Simon Pegg,Nick Frost,Martin Freeman,Bill Nighy,Edgar Wright,action comedy mystery skilled london police officer transferred small town dark secret simon pegg edgar wright
The Curious Case of Benjamin Button,"Drama, Fantasy, Romance",0.117647058823529,0.5833333333333334,"Tells the story of Benjamin Button, a man who starts aging backwards with consequences.",Brad Pitt,Cate Blanchett,Tilda Swinton,Julia Ormond,David Fincher,drama fantasy romance tell story benjamin button man start aging backwards consequence brad pitt david fincher
Veer-Zaara,"Drama, Family, Musical",0.117647058823529,0.5416666666666666,"Veer-Zaara is a saga of love, separation, courage and sacrifice. A love story that is an inspiration and will remain a legend forever.",Shah Rukh Khan,Preity Zinta,Rani Mukerji,Kirron Kher,Yash Chopra,drama family musical veerzaara saga love separation courage sacrifice love story inspiration remain legend forever shah rukh khan yash chopra
Adams æbler,"Comedy, Crime, Drama",0.117647058823529,0.3194444444444444,A neo-nazi sentenced to community service at a church clashes with the blindly devotional priest.,Ulrich Thomsen,Mads Mikkelsen,Nicolas Bro,Paprika Steen,Anders Thomas Jensen,comedy crime drama neonazi sentenced community service church clash blindly devotional priest ulrich thomsen anders thomas jensen
Pride & Prejudice,"Drama, Romance",0.117647058823529,0.75,"Sparks fly when spirited Elizabeth Bennet meets single, rich, and proud Mr. Darcy. But Mr. Darcy reluctantly finds himself falling in love with a woman beneath his class. Can each overcome their own pride and prejudice?",Keira Knightley,Matthew Macfadyen,Brenda Blethyn,Donald Sutherland,Joe Wright,drama romance spark fly spirited elizabeth bennet meet single rich proud mr darcy mr darcy reluctantly find falling love woman beneath class overcome pride prejudice keira knightley joe wright
The World's Fastest Indian,"Biography, Drama, Sport",0.117647058823529,0.5555555555555556,"The story of New Zealander Burt Munro, who spent years rebuilding a 1920 Indian motorcycle, which helped him set the land speed world record at Utah's Bonneville Salt Flats in 1967.",Anthony Hopkins,Diane Ladd,Iain Rea,Tessa Mitchell,Roger Donaldson,biography drama sport story new zealander burt munro spent year rebuilding 1920 indian motorcycle helped set land speed world record utah bonneville salt flat 1967 anthony hopkins roger donaldson
Tôkyô goddofâzâzu,"Animation, Adventure, Comedy",0.117647058823529,0.625,"On Christmas Eve, three homeless people living on the streets of Tokyo discover a newborn baby among the trash and set out to find its parents.",Shôgo Furuya,Tôru Emori,Yoshiaki Umegaki,Aya Okamoto,Satoshi Kon,animation adventure comedy christmas eve three homeless people living street tokyo discover newborn baby among trash set find parent shôgo furuya satoshi kon
Serenity,"Action, Adventure, Sci-Fi",0.117647058823529,0.6388888888888888,The crew of the ship Serenity try to evade an assassin sent to recapture one of their members who is telepathic.,Nathan Fillion,Gina Torres,Chiwetel Ejiofor,Alan Tudyk,Joss Whedon,action adventure scifi crew ship serenity try evade assassin sent recapture one member telepathic nathan fillion joss whedon
Walk the Line,"Biography, Drama, Music",0.117647058823529,0.6111111111111112,"A chronicle of country music legend Johnny Cash's life, from his early days on an Arkansas cotton farm to his rise to fame with Sun Records in Memphis, where he recorded alongside Elvis Presley, Jerry Lee Lewis, and Carl Perkins.",Joaquin Phoenix,Reese Witherspoon,Ginnifer Goodwin,Robert Patrick,James Mangold,biography drama music chronicle country music legend johnny cash life early day arkansas cotton farm rise fame sun record memphis recorded alongside elvis presley jerry lee lewis carl perkins joaquin phoenix james mangold
The Notebook,"Drama, Romance",0.117647058823529,0.3472222222222222,"A poor yet passionate young man falls in love with a rich young woman, giving her a sense of freedom, but they are soon separated because of their social differences.",Gena Rowlands,James Garner,Rachel McAdams,Ryan Gosling,Nick Cassavetes,drama romance poor yet passionate young man fall love rich young woman giving sense freedom soon separated social difference gena rowlands nick cassavetes
Diarios de motocicleta,"Adventure, Biography, Drama",0.117647058823529,0.6527777777777777,The dramatization of a motorcycle road trip Che Guevara went on in his youth that showed him his life's calling.,Gael García Bernal,Rodrigo De la Serna,Mía Maestro,Mercedes Morán,Walter Salles,adventure biography drama dramatization motorcycle road trip che guevara went youth showed life calling gael garcía bernal walter salles
Lilja 4-ever,"Crime, Drama",0.117647058823529,0.75,"Sixteen-year-old Lilja and her only friend, the young boy Volodja, live in Russia, fantasizing about a better life. One day, Lilja falls in love with Andrej, who is going to Sweden, and invites Lilja to come along and start a new life.",Oksana Akinshina,Artyom Bogucharskiy,Pavel Ponomaryov,Lyubov Agapova,Lukas Moodysson,crime drama sixteenyearold lilja friend young boy volodja live russia fantasizing better life one day lilja fall love andrej going sweden invite lilja come along start new life oksana akinshina lukas moodysson
Les triplettes de Belleville,"Animation, Comedy, Drama",0.117647058823529,0.875,"When her grandson is kidnapped during the Tour de France, Madame Souza and her beloved pooch Bruno team up with the Belleville Sisters--an aged song-and-dance team from the days of Fred Astaire--to rescue him.",Michèle Caucheteux,Jean-Claude Donda,Michel Robin,Monica Viegas,Sylvain Chomet,animation comedy drama grandson kidnapped tour de france madame souza beloved pooch bruno team belleville sistersan aged songanddance team day fred astaireto rescue michèle caucheteux sylvain chomet
The Count of Monte Cristo,"Action, Adventure, Drama",0.117647058823529,0.45833333333333337,"A young man, falsely imprisoned by his jealous ""friend"", escapes and uses a hidden treasure to exact his revenge.",Jim Caviezel,Guy Pearce,Christopher Adamson,JB Blanc,Kevin Reynolds,action adventure drama young man falsely imprisoned jealous friend escape us hidden treasure exact revenge jim caviezel kevin reynolds
Waking Life,"Animation, Drama, Fantasy",0.117647058823529,0.7638888888888888,A man shuffles through a dream meeting various people and discussing the meanings and purposes of the universe.,Ethan Hawke,Trevor Jack Brooks,Lorelei Linklater,Wiley Wiggins,Richard Linklater,animation drama fantasy man shuffle dream meeting various people discussing meaning purpose universe ethan hawke richard linklater
